Date,TSLA (Adj Close),SEDG (Adj Close),TSLA (Close),SEDG (Close),TSLA (High),SEDG (High),TSLA (Low),SEDG (Low),TSLA (Open),SEDG (Open),TSLA (Volume),SEDG (Volume)
10/1/2020,448.1600037,248.8699951,448.1600037,248.8699951,448.8800049,249.7299957,434.4200134,235.2200012,440.7600098,243,,
10/2/2020,415.0899963,251.5800018,415.0899963,251.5800018,439.1300049,257.25,415,239.5,421.3900146,240.6000061,,
10/5/2020,425.6799927,272.5899963,425.6799927,272.5899963,433.6400146,272.6300049,419.3299866,257.0100098,423.3500061,258.4500122,50741500,1351700
10/6/2020,413.980011,271.8699951,413.980011,271.8699951,428.7799988,275.8500061,406.0499878,262.3999939,423.7900085,273.6700134,71430000,1318500
10/7/2020,425.2999878,305.1499939,425.2999878,305.1499939,429.8999939,308.1700134,413.8500061,276.5700073,419.8699951,278.980011,44722800,1399000
10/8/2020,425.9200134,289,425.9200134,289,439,314,425.2999878,278.5599976,438.4400024,311,49146300,1964600
10/9/2020,434,305.3500061,434,305.3500061,434.5899963,311.2420044,426.4599915,286.7099915,430.1300049,292,43127700,2194800
10/12/2020,442.2999878,297.9400024,442.2999878,297.9400024,448.7399902,311.5960083,438.5799866,288,442,310,40421100,3179800
10/13/2020,446.6499939,299.6499939,446.6499939,299.6499939,448.8900146,302.2399902,436.6000061,289.5,443.3500061,295.8900146,28925700,1848400
10/14/2020,461.2999878,304.519989,461.2999878,304.519989,465.8999939,308.7369995,447.3500061,294.0299988,449.7799988,300,38791100,1870300
10/15/2020,448.8800049,302.5,448.8800049,302.5,456.5700073,305.3399963,442.5,290,450.3099976,298,34463700,1350300
10/16/2020,439.6700134,302.019989,439.6700134,302.019989,455.9500122,315.4299927,438.8500061,300.0499878,454.4400024,310,48045400,1351100
10/19/2020,430.8299866,309.1000061,430.8299866,309.1000061,447,316.7820129,428.8699951,300.7200012,446.2399902,304.4899902,35672400,1139600
10/20/2020,421.9400024,309.7999878,421.9400024,309.7999878,431.75,317.8800049,419.0499878,303.4400024,431.75,313.3299866,32775900,1691300
10/21/2020,422.6400146,279.5899963,422.6400146,279.5899963,432.9500122,312.9500122,421.25,278.6319885,422.7000122,310.9400024,36287800,1162500
10/22/2020,425.7900085,280.3900146,425.7900085,280.3900146,445.230011,287.5,424.5100098,268.4299927,441.9200134,282.2900085,31656300,1583600
10/23/2020,420.6300049,282.8800049,420.6300049,282.8800049,422.8900146,293.5,407.3800049,278.3200073,421.8399963,287.0499878,32370500,1948400
10/26/2020,420.2799988,273,420.2799988,273,425.7600098,285.7399902,410,265.0899963,411.6300049,276.019989,39993200,1883900
10/27/2020,424.6799927,261.8399963,424.6799927,261.8399963,430.5,275.269989,420.1000061,255.4299927,423.7600098,269.8200073,33717000,912500
10/28/2020,406.019989,263.8299866,406.019989,263.8299866,418.6000061,269.8699951,406,254.6900024,416.480011,260,28239200,1158800
10/29/2020,410.8299866,270.0899963,410.8299866,270.0899963,418.0599976,275.3800049,406.4599915,266,409.9599915,267,22686500,1815100
10/30/2020,388.0400085,257.6900024,388.0400085,257.6900024,407.5899963,268.9299927,379.1099854,251.0200043,406.8999939,266.5,25451400,1336400
11/2/2020,400.5100098,267.7200012,400.5100098,267.7200012,406.980011,275.9700012,392.2999878,261.0799866,394,262.5,22655300,1099500
11/3/2020,423.8999939,206.3699951,423.8999939,206.3699951,427.769989,217.9700012,406.6900024,201.5599976,409.730011,213.0899963,42511300,1232700
,,,,,,,,,,,29021100,1805500
,,,,,,,,,,,34351700,8792700
